# In this file, the first column is the RadioGatun[32] sum of the
# file and the second column is the length of the hash input.  The
# hash, for these sums, is a repeated string of 0x55 numbers 
# (ASCII "U").

8ff4028e00c0d9bed5fadab763c6c0da9022af93106ef78f81e5ef17d6280051 1
7a63f856e3a65462db2a091c385c777413e248bb176af756552f9949b1f0360d 2
8a63dc66b9c0e0e373a7283ed8999fec850fc8b704af6a72be8273a7958f1330 4
622958a4cfa880f6fbecdcaea56275099be2c782e44ab3e75a9b5880d26e8e3d 8
cb2269d2fbe3ff65dfa0fa393a22fa9c5f47086c8db5ff104701f232e69d65de 16
d4d4f89e827330cd1d3f78f3df80191955458b63adea415de91c7366b4ca6eb8 32
dd46c496a071b0b11176e2f562731a2178ab40fbb58a9f2a4e6b402509881d3f 64
c1aad92552a66739c40a09640fbc558d07e3fa246e338c8bfea4e4de82382f02 128
3d36fb3029724bd84b08e44b7b1e23e5d6339c2dae46648515dba079f666dc25 256
f698e8f7b836472dd2e2ef083781e20f92b4fdc1227792d29ef9b11caa2134b0 512
e1f58e7d5a59d9be822637cbe68c0132bd9016cfe77b7d843a970bf0a0b697d7 1024
7d76ea84dd326bd01446cea1236d415d56682825a1a9e1224a099b8a1dc6f054 2048
7c1ef07f6cfd0edc522d1e753585a13ba73f83a66809ab10776fe8bee54bd20d 4096
f6014e25aaabbeb0e20e95d8ccdb55094cfc9ecbbfcea4123aabeaae6e766d53 8192
34139473b92902fa30e995e9db69cabd0536ec00bb06418d2ee4e771223fed40 16384
23645ed67b47074ea8cb16e84e871dd387ff252943072befa87a833611411bc9 32768
ce1eb6e84d28fe3f2c5491f495d7fe60419698357edba6f067b385be18ab8ca6 65536
fa42be061b84751acfe1ce0ea78f209c06660e889ccf5e8819f87b60599370ef 131072
d31fef1691684df94d4da35bb334aaf0d98ca26612315e63540a5b62848a8763 262144
0ca9091d2acfe9395c7860751fb063aaac7e4b755dd5e37f4e36d211d4c55ef5 524288
f32f6b8ffc27bef86974335ccbc732ecea2827ce7a843821a4cd024d2a329e52 1048576
1334bffd3ff1ccab569a0570d9747e7fdf28112f56d07a83e14281bfb8990fe4 2097152
9356bfc6fc21fcdb28d875278aae85b962182259970cc7ec090e9ab486bd3f8a 4194304
9be245761c32f233b82ad4e03346c0fa778ef442703ed625d21ae2c383126a1c 8388608
b364a6befd79b4677fc35305d95d1102a8a0c6d08447bcee6083ba634315be21 16777216
daf58033725ad51e9b531911bbc7b7316d4d77bd0b2821f57f48bc4e7183516d 33554432
68d070abeb9ad9cfd717decc26f53bd477505c841c8a2d6b8a37540085418483 67108864
df0c25beedbfff8a1b8a605c4c0094ccf7a258901d3bd096661a2aeaea6d38dc 134217728
7d405173eff0737c77f3b6ae238c00fb625d0ddea48e04fe914e7624e39e0714 268435456
597b74221f7bc3636cb14d958a1dda0334d8f88d1836151fb372e629be0547a6 536870912
590aa0e1018061408dd2cf61f5b2886df9597309ae7b7643cd0b8adff532df38 1073741824
cc234cbf0deaef6f01e0e77ef6e8dbc01dbb436420f6c6208ac5542e261e996f 2147483648
6218d7eb1a443a9069724e5a61ce6333d9e42aad20d02d49ada8ecfb20a48149 4294967296
06dad49621be006a7b6aaa1aa1735a9bebf4cd144b12b9fa02433fe3dfc9c451 8589934592
